Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
,nan,,nan,,,"06°51'24.1""","38°29'46.5"""
20,nan,7,nan,,,nan,nan
40.70,9000,14.5,nan,,,"07°11'25.70""","35°21'38.50"""
49,6545,,2672.90,LABDES,55/2011,"07°06'04.3""","35°20'15.9"""
,nan,,5700,,,"07°09'32.4""","35°19'15.3"""
,nan,,nan,,,"07°10'51.7""","35°21'28.2"""
48,147,20,nan,,,"  07°10'55.5"""," 35°55'23.2"""
48,1565,20,1858.80,LABDES,333/2011,"  07°12'47.1"""," 35°52'43.8"""
80,480,11,7456,,,"  07°14'00.4"""," 35°52'00.9"""
52,seco,36,-,,,"  07°12'18.9"""," 35°59'25.1"""
30,Improdutivo,9,-,,,"  07°10'36.7"""," 35°53'59.4"""
60,200,16.5,-,,,"  07°13'33.4"""," 35°53'08.5"""
55.80,173,21.5,4200.40,LABDES,334/2012,"  07°16'47.0"""," 36°02'07.1"""
52,0  (verif),42,6697.50,LABDES,93/2011,"  07°16'18.3"""," 35°52'12.9"""
100,seco,-,-,,14/2014,"  07°13'35.3"""," 35°51'13.0"""
61,seco,-,-,,,"  07°14'01.4"""," 35°51'24.5"""
51,seco,8,-,,,"  07°17'24.3"""," 35°43'26.5"""
52,seco,-,-,,,"  07°14'18.4"""," 35°52'10.2"""
52,seco,-,-,,,"  07°13'27.2"""," 35°53'20.8"""
51,470,32.5,1479.20,,,"  07°13'08.19"""," 35°53'28.07"""
67.30,183,53,4891.20,,,"  07°12'45.8"""," 35°55'30.9"""
,nan,,nan,,," 07°13'50.62""","35°52'17.57"""
43.60,3000,34,2303.40,,,"06°40'53.3""","35°44'59.8"""
52,seco,21,-,,,"07°13'13.4""","35°52'56.3"""
,nan,,nan,,,"07°11'16.6""","35°51'43.5"""
,nan,,nan,,,"07°11'03.6""","35°51'52.3"""
51,seco,0,-,,,"07°11'01.04""","35°51'35.2"""
,nan,,nan,,,"07°12'30.40""","35°55'33.70"""
60,nan,0,nan,,,"07°12'33.10""","35°55'27.60"""
,nan,,nan,,,"07°12'30.9""","35°55'19.8"""
60,400,33.5,nan,,,"07°11'01.4""","35°51'35.2"""
,nan,,nan,,,"07°07'35.1""","38°35'12.1"""
50,nan,0,nan,,,"07°16'32.6""","35°44'42.4"""
49,5538,26,nan,,,"07°15'11.4""","35°58'49.4"""
,nan,,nan,,,"07°10'46.60""","35°59'50.00"""
,nan,,nan,,,"07°12'33.6""","35°58'46.2"""
,nan,,nan,,,"07°13'08.00""","35°56'07.90"""
60,nan,,nan,,,"07°18'21.7""","35°47'56.3"""
,nan,,nan,,,"07°17'41.70""","35°49'29.90"""
51,nan,22.333333333333332,nan,,,"07°12'57.7""","35°53'36.2"""
51,nan,0,nan,,,"07°13'13.4""","35°52'56.3"""
50,960,22.0,nan,,,"07°12'56.90""","35°52'54.00"""
,nan,,nan,,,"07°13'24.3""","35°52'33.9"""
55,nan,50,nan,,,"07°15'11.2""","35°53'40.4"""
51,300,31,nan,,,"07°14'59.50""","35°53'39.50"""
,nan,,nan,,,"07°13'09.4""","35°55'49.6"""
,nan,,nan,,,"07°13'15.4""","35°53'45.0"""
60,nan,0,nan,,,"07°12'55.0""","35°53'05.0"""
,nan,,nan,,,"07°14'14.1""","35°52'19.2"""
,nan,,nan,,,"07°14'29.9""","35°52'36.6"""
,nan,,nan,,,9.202.738.31,182.994.17
